headline,snippet,web_url,lead_paragraph
{u'main': u'Canada Pipeline Plan'},LEAD: The Canadian and British Columbian governments said last week that they would provide $230 million ($188.5 million United States) in grants and interest-free loans for a $485 million ($400 million) natural gas pipeline linking the mainland o...,https://www.nytimes.com/1988/09/26/business/canada-pipeline-plan.html,"LEAD: The Canadian and British Columbian governments said last week that they would provide $230 million ($188.5 million United States) in grants and interest-free loans for a $485 million ($400 million) natural gas pipeline linking the mainland of British Columbia and Vancouver Island. The pipeline, proposed for nearly 40 years, will make natural gas available the island and to British Columbia's western coast."
{u'main': u'Canadian Pipeline Shift'},"Canada Development Corp withdraws participating membership in Canadian Arctic Gas, becoming assoc member with option of terminating membership at any time (S)...",https://query.nytimes.com/gst/abstract.html?res=9D0CE7DA113BEE34BC4153DFB467838E669EDE,
{u'main': u'Canada Pipeline Under Way'},"work begins on $6-million, 72-mi pipeline being built by Husky Oil Canadian Ltd to carry asphaltic crude oil from Lloydminster, Sask, to US and E Canada...",https://query.nytimes.com/gst/abstract.html?res=9B05E2DF1030EF3BBC4851DFBF668388679EDE,
"{u'seo': u'Canadian Official in U.S. to Push Keystone XL', u'main': u'Canadian Visits U.S. to Promote Oil Pipeline', u'print_headline': u'Canadian Visits U.S. To Promote Oil Pipeline'}","Alison Redford, the Alberta premier, said critics of the Keystone XL project had exaggerated the impact of developing the oil....",https://www.nytimes.com/2013/04/10/us/canadian-official-in-us-to-push-keystone-xl.html,"Alison Redford, the Alberta premier, said critics of the Keystone XL project had exaggerated the impact of developing the oil."
{u'main': u'Canadian Pipeline Sought I'},Twenty-two Senators have urged Interior Secretary Rogers C. B. Morton to reaffirm his support for construction of a pipeline across Canada to deliver natural gas from Alaska....,https://query.nytimes.com/gst/abstract.html?res=9504EED71F3CE13BBC4E51DFB566838F669EDE,Twenty-two Senators have urged Interior Secretary Rogers C. B. Morton to reaffirm his support for construction of a pipeline across Canada to deliver natural gas from Alaska.
{u'main': u'Canada Pipeline Hearing Off'},Transport Comrs Bd adjourns hearings on Trans-Mountain Oil Pipe Line Co application for Alta-Vancouver line...,https://query.nytimes.com/gst/abstract.html?res=9F06E2D7153DEF3BBC4D52DFB366838A649EDE,
"{u'main': u'Canadian Pipeline Study', u'kicker': u'1'}",,https://query.nytimes.com/gst/abstract.html?res=9E04EED61730E63ABC4E53DFB5668388669EDE,
{u'main': u'Canada Pipeline Seeks Aid'},"Min Howe says Trans-Canada Pipe Lines seeks Govt aid in financing Alta-Ont natural gas line, Commons...",https://query.nytimes.com/gst/abstract.html?res=9A0DEEDB113FE33BBC4953DFB466838E649EDE,
{u'main': u'Canada Pushes Gas Pipeline'},Govt offers legis to facilitate financing Alta-East pipeline...,https://query.nytimes.com/gst/abstract.html?res=9503E5D6153AE53BBC4D52DFB066838F649EDE,
"{u'main': u'Canada: Gas Pipeline Bombed Again', u'print_headline': u'Canada: Gas Pipeline Bombed Again', u'content_kicker': u'World Briefing | The Americas'}",A gas pipeline in northern British Columbia was bombed for a second time in a week. The police is investigating the bombings....,https://www.nytimes.com/2008/10/17/world/americas/17briefs-GASPIPELINEB_BRF.html,A gas pipeline in northern British Columbia was bombed for a second time in a week. The police is investigating the bombings.
